
train loss 1.029, val loss 0.9031942, val accuracy 0.5806451612903226
train loss 0.871, val loss 0.8514508, val accuracy 0.6427893738140418
train loss 0.793, val loss 0.7202399, val accuracy 0.900853889943074
train loss 0.721, val loss 0.7150947, val accuracy 0.8700189753320683
train loss 0.677, val loss 0.6428418, val accuracy 0.9321631878557874
train loss 0.644, val loss 0.6268926, val accuracy 0.9392789373814042
train loss 0.631, val loss 0.6158418, val accuracy 0.9435483870967742
train loss 0.621, val loss 0.6107309, val accuracy 0.9440227703984819
train loss 0.622, val loss 0.6050594, val accuracy 0.9487666034155597
train loss 0.608, val loss 0.6072445, val accuracy 0.948292220113852
train loss 0.608, val loss 0.6014688, val accuracy 0.9511385199240987
train loss 0.601, val loss 0.6083652, val accuracy 0.9411764705882353
train loss 0.599, val loss 0.5996664, val accuracy 0.9516129032258065
train loss 0.599, val loss 0.5971728, val accuracy 0.9535104364326376
train loss 0.604, val loss 0.5939991, val accuracy 0.9573055028462998
train loss 0.595, val loss 0.5905514, val accuracy 0.9606261859582542
train loss 0.591, val loss 0.5893446, val accuracy 0.9606261859582542
train loss 0.588, val loss 0.5918665, val accuracy 0.959203036053131
train loss 0.590, val loss 0.5849656, val accuracy 0.9667931688804554
train loss 0.586, val loss 0.5891753, val accuracy 0.9625237191650854
train loss 0.584, val loss 0.5842463, val accuracy 0.9663187855787476
train loss 0.587, val loss 0.5881835, val accuracy 0.963472485768501
train loss 0.586, val loss 0.5837965, val accuracy 0.9667931688804554
train loss 0.582, val loss 0.5821188, val accuracy 0.967741935483871
train loss 0.579, val loss 0.5832228, val accuracy 0.9682163187855788
train loss 0.583, val loss 0.5816147, val accuracy 0.9686907020872866
train loss 0.579, val loss 0.5920294, val accuracy 0.959203036053131
train loss 0.586, val loss 0.5855480, val accuracy 0.9663187855787476
train loss 0.581, val loss 0.5806214, val accuracy 0.9701138519924098
train loss 0.578, val loss 0.5796939, val accuracy 0.972011385199241
train loss 0.577, val loss 0.5831356, val accuracy 0.9682163187855788
train loss 0.575, val loss 0.5793051, val accuracy 0.9715370018975332
train loss 0.575, val loss 0.5763322, val accuracy 0.9739089184060721
train loss 0.574, val loss 0.5816664, val accuracy 0.969639468690702
train loss 0.575, val loss 0.5778386, val accuracy 0.9729601518026565
train loss 0.573, val loss 0.5767673, val accuracy 0.9743833017077799
train loss 0.584, val loss 0.5818044, val accuracy 0.969639468690702
train loss 0.574, val loss 0.5828697, val accuracy 0.967741935483871
DONE
